,Title,Date,Score
132,Just Dance 2018 (WIIU),"Oct 24, 2017",4.6
133,South Park: The Fractured But Whole (PC),"Oct 17, 2017",6.6
134,South Park: The Fractured But Whole (XONE),"Oct 17, 2017",7.6
135,South Park: The Fractured But Whole (PS4),"Oct 17, 2017",7.6
136,Mario + Rabbids: Kingdom Battle - Ultra Challenge Pack (Switch),"Oct 17, 2017",6.3
137,Atomega (PC),"Sep 19, 2017",tbd
138,Rayman Legends: Definitive Edition (Switch),"Sep 12, 2017",8.1
139,Monopoly Plus (PC),"Sep 7, 2017",4.0
140,Mario + Rabbids: Kingdom Battle (Switch),"Aug 29, 2017",8.5
141,Tom Clancy's Ghost Recon: Wildlands - Ghost Pack: Santa Blanca (PS4),"Jun 23, 2017",tbd
142,Tom Clancy's Ghost Recon: Wildlands - Fallen Ghosts (PS4),"Jun 6, 2017",6.2
143,Tom Clancy's Ghost Recon: Wildlands - Fallen Ghosts (PC),"Jun 6, 2017",tbd
144,Star Trek: Bridge Crew (PC),"May 30, 2017",7.6
145,Star Trek: Bridge Crew (PS4),"May 30, 2017",7.1
146,Tom Clancy's Ghost Recon: Wildlands - Fallen Ghosts (XONE),"May 29, 2017",tbd
147,Trackmania 2 Lagoon (PC),"May 23, 2017",tbd
148,Watch Dogs 2: No Compromise (PC),"May 18, 2017",3.2
149,Watch Dogs 2: No Compromise (XONE),"May 18, 2017",tbd
150,Rocksmith (iOS),"May 16, 2017",tbd
151,Steep - Winterfest Pack (PS4),"May 3, 2017",tbd
152,Tom Clancy's Ghost Recon: Wildlands - Narco Road (PC),"Apr 25, 2017",2.0
153,Tom Clancy's Ghost Recon: Wildlands - Narco Road (XONE),"Apr 25, 2017",tbd
154,Syberia 3 (PC),"Apr 20, 2017",6.0
155,Tom Clancy's Ghost Recon: Wildlands - Narco Road (PS4),"Apr 18, 2017",4.0
156,Watch Dogs 2: No Compromise (PS4),"Apr 4, 2017",7.4
157,Watch Dogs 2: Human Conditions (XONE),"Mar 23, 2017",tbd
158,Tom Clancy's Ghost Recon: Wildlands (PC),"Mar 7, 2017",6.2
159,Tom Clancy's Ghost Recon: Wildlands (PS4),"Mar 7, 2017",6.1
160,Tom Clancy's Ghost Recon: Wildlands (XONE),"Mar 7, 2017",6.6
161,Just Dance 2017 (Switch),"Mar 3, 2017",5.2
162,Tom Clancy's The Division: Gold Edition (XONE),"Mar 3, 2017",tbd
163,Tom Clancy's The Division - The Last Stand (PC),"Feb 28, 2017",tbd
164,Tom Clancy's The Division - The Last Stand (PS4),"Feb 28, 2017",2.5
165,Tom Clancy's The Division - The Last Stand (XONE),"Feb 28, 2017",4.3
166,Rabbids Crazy Rush (iOS),"Feb 22, 2017",6.0
167,Watch Dogs 2: Human Conditions (PS4),"Feb 21, 2017",7.2
168,For Honor (PS4),"Feb 14, 2017",6.1
169,For Honor (XONE),"Feb 14, 2017",5.9
170,For Honor (PC),"Feb 13, 2017",5.3
171,Tom Clancy's Ghost Recon: Wildlands HQ (iOS),"Feb 3, 2017",tbd
172,City of Love: Paris (iOS),"Feb 1, 2017",tbd
173,Might & Magic Showdown (PC),TBA - Early Access,tbd
174,Horse Adventure: Tale of Etria (iOS),"Jan 12, 2017",tbd
175,Tom Clancy's Rainbow Six Siege: Gold Edition (XONE),"Dec 20, 2016",tbd
176,Werewolves Within (PC),"Dec 6, 2016",tbd
