,Title,Date,Score
393,Far Cry 4 (PS4),"Nov 18, 2014",7.7
394,Far Cry 4 (XONE),"Nov 18, 2014",7.6
395,Far Cry 4 (PS3),"Nov 18, 2014",7.4
396,Far Cry 4 (X360),"Nov 18, 2014",7.2
397,Rabbids Invasion (PS4),"Nov 18, 2014",3.7
398,Rabbids Invasion (X360),"Nov 18, 2014",tbd
399,Monopoly: Family Fun Pack (XONE),"Nov 18, 2014",6.7
400,Monopoly: Family Fun Pack (PS4),"Nov 18, 2014",4.3
401,Far Cry 4 Arena Master (iOS),"Nov 18, 2014",tbd
402,Monopoly Deal (XONE),"Nov 18, 2014",tbd
403,Far Cry 4 (PC),"Nov 17, 2014",6.8
404,Far Cry 4 Arcade Poker (iOS),"Nov 17, 2014",tbd
405,Assassin's Creed Unity (PS4),"Nov 11, 2014",5.0
406,Assassin's Creed Unity (XONE),"Nov 11, 2014",4.2
407,Assassin's Creed Unity (PC),"Nov 11, 2014",3.3
408,Shape Up (XONE),"Nov 11, 2014",8.0
409,Tetris Ultimate (3DS),"Nov 11, 2014",4.0
410,Assassin's Creed Rogue (PS3),"Nov 11, 2014",7.5
411,Assassin's Creed Rogue (X360),"Nov 11, 2014",7.4
412,Assassin's Creed Unity - American Prisoner Mission (XONE),"Nov 11, 2014",tbd
413,Assassin's Creed Unity - Chemical Revolution Mission (XONE),"Nov 11, 2014",tbd
414,Assassin's Creed Unity - Killed by Science Mission (XONE),"Nov 11, 2014",tbd
415,Shape Up Battle Run (iOS),"Nov 10, 2014",tbd
416,Battle of Heroes: Land of Immortals (iOS),"Nov 6, 2014",tbd
417,Rocksmith 2014 Edition (PS4),"Nov 4, 2014",7.5
418,Rocksmith 2014 Edition (XONE),"Nov 4, 2014",7.5
419,Assassin's Creed: The Americas Collection (PS3),"Oct 28, 2014",tbd
420,Assassin's Creed: The Americas Collection (X360),"Oct 28, 2014",8.5
421,Assassin's Creed: The Americas Collection (PC),"Oct 28, 2014",tbd
422,Just Dance 2015 Motion Controller (iOS),"Oct 24, 2014",tbd
423,Just Dance 2015 (XONE),"Oct 21, 2014",7.5
424,Just Dance 2015 (PS4),"Oct 21, 2014",5.7
425,Just Dance 2015 (WIIU),"Oct 21, 2014",6.6
426,Just Dance 2015 (PS3),"Oct 21, 2014",6.8
427,Just Dance 2015 (X360),"Oct 21, 2014",8.3
428,Just Dance 2015 (WII),"Oct 21, 2014",8.4
429,The Bot Squad: Puzzle Battles (iOS),"Oct 16, 2014",tbd
430,Petz Countryside (3DS),"Oct 14, 2014",tbd
431,Petz Beach (3DS),"Oct 14, 2014",tbd
432,Poptropica: Forgotten Islands (3DS),"Oct 14, 2014",tbd
433,Trials Fusion: Welcome to the Abyss (PS4),"Oct 7, 2014",tbd
434,Watch Dogs: Bad Blood (XONE),"Sep 30, 2014",5.7
435,Watch Dogs: Bad Blood (PS4),"Sep 30, 2014",7.2
436,Watch Dogs: Bad Blood (PC),"Sep 30, 2014",6.7
437,Watch Dogs: Bad Blood (PS3),"Sep 30, 2014",7.2
438,Watch Dogs: Bad Blood (X360),"Sep 30, 2014",7.2
439,Just Dance Now (iOS),"Sep 25, 2014",6.9
440,Valiant Hearts: The Great War (iOS),"Sep 4, 2014",8.2
441,Little Raiders: Robin's Revenge (iOS),"Aug 28, 2014",tbd
442,Chubby Kings - Penguins (iOS),"Aug 21, 2014",tbd
443,Assassin's Creed Memories (iOS),"Aug 20, 2014",3.3
444,Trials Fusion: Empire of the Sky (PC),"Aug 19, 2014",tbd
445,Trials Fusion: Empire of the Sky (PS4),"Aug 19, 2014",tbd
446,Assassin's Creed: Pirates (PC),"Aug 14, 2014",tbd
447,AirMech Arena (X360),"Jul 30, 2014",7.3
448,Trials Fusion: Riders of the Rustlands (PS4),"Jul 29, 2014",tbd
449,Trials Fusion: Riders of the Rustlands (PC),"Jul 29, 2014",tbd
450,Might & Magic: Duel of Champions - Forgotten Wars (X360),"Jul 23, 2014",tbd
451,Might & Magic: Duel of Champions - Forgotten Wars (PS4),"Jul 22, 2014",4.2
452,Might & Magic: Duel of Champions - Forgotten Wars (PS3),"Jul 22, 2014",tbd
453,Child of Light (VITA),"Jul 1, 2014",7.8
454,Far Cry Compilation (X360),"Jul 1, 2014",7.8
455,Valiant Hearts: The Great War (PC),"Jun 25, 2014",8.6
456,Valiant Hearts: The Great War (X360),"Jun 25, 2014",8.0
457,Valiant Hearts: The Great War (XONE),"Jun 25, 2014",8.0
458,Valiant Hearts: The Great War (PS3),"Jun 24, 2014",8.1
459,Valiant Hearts: The Great War (PS4),"Jun 24, 2014",8.2
460,Watch Dogs: Conspiracy (PC),"Jun 5, 2014",tbd
461,Watch Dogs (PS3),"May 27, 2014",5.1
462,Watch Dogs (X360),"May 27, 2014",5.1
463,Watch Dogs (PS4),"May 27, 2014",6.3
464,Watch Dogs (XONE),"May 27, 2014",5.9
465,Watch_Dogs Companion: ctOS Mobile (iOS),"May 27, 2014",tbd
466,Watch Dogs (PC),"May 26, 2014",4.8
467,Child of Light (PC),"Apr 30, 2014",8.1
468,Child of Light (XONE),"Apr 30, 2014",7.6
469,Child of Light (X360),"Apr 30, 2014",7.5
470,CSI: Hidden Crimes (iOS),"Apr 30, 2014",tbd
471,Child of Light (PS4),"Apr 29, 2014",8.0
472,Child of Light (WIIU),"Apr 29, 2014",8.5
473,Child of Light (PS3),"Apr 29, 2014",7.7
474,Trials Fusion (XONE),"Apr 16, 2014",7.1
475,Trials Fusion (X360),"Apr 16, 2014",7.5
476,Trials Fusion (PC),"Apr 16, 2014",6.9
477,Trials Fusion (PS4),"Apr 15, 2014",7.1
478,Trials Frontier (iOS),"Apr 9, 2014",5.9
479,Assassin's Creed IV: Black Flag - Aveline DLC (PS3),"Apr 1, 2014",tbd
480,Assassin's Creed IV: Black Flag - Aveline DLC (PS4),"Apr 1, 2014",tbd
481,Rayman Fiesta Run (PC),"Mar 13, 2014",tbd
482,South Park: The Stick of Truth (PS3),"Mar 4, 2014",8.5
483,South Park: The Stick of Truth (X360),"Mar 4, 2014",8.5
484,South Park: The Stick of Truth (PC),"Mar 4, 2014",8.6
485,Rayman Legends (PS4),"Feb 18, 2014",8.4
486,Rayman Legends (XONE),"Feb 18, 2014",7.9
487,Far Cry Compilation (PS3),"Feb 11, 2014",7.4
488,Far Cry Classic (X360),"Feb 11, 2014",7.5
489,Far Cry Classic (PS3),"Feb 11, 2014",5.8
490,Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 2 Guild of Rogues (X360),"Feb 11, 2014",tbd
491,Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 2 Guild of Rogues (PS3),"Feb 11, 2014",tbd
492,Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 2 Guild of Rogues (PS4),"Feb 11, 2014",tbd
493,Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 2 Guild of Rogues (XONE),"Feb 11, 2014",tbd
494,Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 2 Guild of Rogues (PC),"Feb 11, 2014",tbd
495,Might & Magic X: Legacy (PC),"Jan 23, 2014",7.3
496,Assassin's Creed Liberation HD (X360),"Jan 15, 2014",5.7
497,Assassin's Creed Liberation HD (PC),"Jan 15, 2014",5.7
498,Assassin's Creed Liberation HD (PS3),"Jan 14, 2014",6.1
499,Assassin's Creed IV: Black Flag - Illustrious Pirates Pack (X360),"Jan 7, 2014",tbd
500,Assassin's Creed IV: Black Flag - Illustrious Pirates Pack (PS3),"Jan 7, 2014",tbd
501,Assassin's Creed IV: Black Flag - Illustrious Pirates Pack (PS4),"Jan 7, 2014",tbd
502,Assassin's Creed IV: Black Flag - Illustrious Pirates Pack (XONE),"Jan 7, 2014",tbd
503,Assassin's Creed IV: Black Flag - Illustrious Pirates Pack (PC),"Jan 7, 2014",tbd
504,Zoo Mania (3DS),TBA,tbd
505,Howrse (iOS),"Dec 20, 2013",tbd
506,Assassin's Creed IV: Black Flag - Freedom Cry (PS3),"Dec 18, 2013",7.5
507,Assassin's Creed IV: Black Flag - Freedom Cry (PS4),"Dec 18, 2013",6.4
508,Assassin's Creed IV: Black Flag - Freedom Cry (PC),"Dec 18, 2013",6.8
509,Assassin's Creed IV: Black Flag - Freedom Cry (XONE),"Dec 17, 2013",7.1
510,Assassin's Creed IV: Black Flag - Freedom Cry (X360),"Dec 17, 2013",6.8
511,Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 1 Blackbeards Wrath (X360),"Dec 10, 2013",tbd
512,Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 1 Blackbeard's Wrath (PS3),"Dec 10, 2013",tbd
513,Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 1 Blackbeards Wrath (PS4),"Dec 10, 2013",tbd
514,Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 1 Blackbeards Wrath (XONE),"Dec 10, 2013",tbd
515,Assassin's Creed IV: Black Flag - Multiplayer Characters Pack 1 Blackbeards Wrath (PC),"Dec 10, 2013",tbd
516,Assassin's Creed: Pirates (iOS),"Dec 5, 2013",6.4
517,Assassin's Creed IV: Black Flag (PC),"Nov 19, 2013",7.7
518,Assassin's Creed IV: Black Flag (XONE),"Nov 19, 2013",7.5
519,Just Dance 2014 (XONE),"Nov 19, 2013",7.0
520,Fighter Within (XONE),"Nov 19, 2013",2.8
521,Assassin's Creed IV: Black Flag (PS4),"Nov 12, 2013",7.9
522,Just Dance 2014 (PS4),"Nov 12, 2013",5.6
523,Rayman Fiesta Run (iOS),"Nov 7, 2013",7.3
524,Assassin's Creed IV: Black Flag (WIIU),"Oct 29, 2013",7.8
525,Assassin's Creed IV: Black Flag (X360),"Oct 29, 2013",7.9
526,Assassin's Creed IV: Black Flag (PS3),"Oct 29, 2013",8.2
527,Rocksmith 2014 Edition (X360),"Oct 22, 2013",7.5
528,Rocksmith 2014 Edition (PS3),"Oct 22, 2013",8.4
529,Rocksmith 2014 Edition (PC),"Oct 22, 2013",7.8
530,Just Dance Kids 2014 (WIIU),"Oct 22, 2013",7.0
531,Just Dance Kids 2014 (WII),"Oct 22, 2013",tbd
532,Just Dance Kids 2014 (X360),"Oct 22, 2013",6.1
533,Rabbid's Big Bang (iOS),"Oct 17, 2013",tbd
534,Panzer General Online (PC),"Oct 15, 2013",tbd
535,Just Dance 2014 (WIIU),"Oct 8, 2013",7.6
536,Just Dance 2014 (X360),"Oct 8, 2013",7.8
537,Just Dance 2014 (PS3),"Oct 8, 2013",7.1
538,Just Dance 2014 (WII),"Oct 8, 2013",6.5
539,Flashback (PS3),"Oct 1, 2013",5.4
540,Flashback (PC),"Oct 1, 2013",5.0
541,Tom Clancy's Ghost Recon Trilogy (X360),"Oct 1, 2013",tbd
542,Assassin's Creed: Ezio Saga (X360),"Oct 1, 2013",tbd
543,Autodance 2014 by Just Dance (iOS),"Sep 27, 2013",tbd
544,Might & Magic: Duel of Champions - Forgotten Wars (PC),"Sep 26, 2013",tbd
545,Rayman Legends (WIIU),"Sep 3, 2013",8.7
546,Rayman Legends (PS3),"Sep 3, 2013",8.7
547,Rayman Legends (X360),"Sep 3, 2013",8.2
548,Rayman Legends (VITA),"Sep 3, 2013",8.4
549,Rayman Legends (PC),"Sep 3, 2013",8.5
550,Flashback (X360),"Aug 21, 2013",4.7
551,Tom Clancy's Splinter Cell: Blacklist (X360),"Aug 20, 2013",7.5
552,Tom Clancy's Splinter Cell: Blacklist (PS3),"Aug 20, 2013",7.7
553,Tom Clancy's Splinter Cell: Blacklist (PC),"Aug 20, 2013",7.5
554,Tom Clancy's Splinter Cell: Blacklist (WIIU),"Aug 20, 2013",7.8
555,Cloudberry Kingdom (PC),"Aug 2, 2013",7.4
556,Cloudberry Kingdom (WIIU),"Aug 1, 2013",7.0
557,Cloudberry Kingdom (X360),"Jul 31, 2013",7.0
558,Cloudberry Kingdom (PS3),"Jul 30, 2013",6.3
559,Prince of Persia: The Shadow and the Flame (iOS),"Jul 25, 2013",5.3
560,The Smurfs 2 (X360),"Jul 23, 2013",5.0
561,The Smurfs 2 (PS3),"Jul 23, 2013",4.4
562,The Smurfs 2 (WIIU),"Jul 23, 2013",5.7
563,The Smurfs 2 (WII),"Jul 23, 2013",tbd
564,The Smurfs 2 (DS),"Jul 23, 2013",tbd
565,CSI: Miami Heat Wave (iOS),"Jul 18, 2013",tbd
566,TrackMania 2 Valley (PC),"Jul 4, 2013",7.7
567,Spartacus Legends (X360),"Jun 26, 2013",5.3
568,Spartacus Legends (PS3),"Jun 25, 2013",5.9
569,TrackMania 2 Stadium (PC),"Jun 20, 2013",7.7
570,The Mighty Quest for Epic Loot (PC),"Jun 10, 2013",5.6
571,Splinter Cell Blacklist Spider-Bot (iOS),"Jun 10, 2013",tbd
572,Call of Juarez: Gunslinger (PC),"May 22, 2013",8.2
573,Call of Juarez: Gunslinger (X360),"May 22, 2013",8.2
574,Call of Juarez: Gunslinger (PS3),"May 14, 2013",8.0
575,Might & Magic: Heroes VI - Shades of Darkness (PC),"May 2, 2013",5.3
576,Far Cry 3: Blood Dragon (X360),"May 1, 2013",8.4
577,Far Cry 3: Blood Dragon (PC),"May 1, 2013",8.1
578,Far Cry 3: Blood Dragon (PS3),"Apr 30, 2013",8.2
579,Rayman Legends Challenges App (WIIU),"Apr 25, 2013",7.0
580,Assassin's Creed III - The Redemption (X360),"Apr 23, 2013",5.7
581,Assassin's Creed III - The Redemption (PS3),"Apr 23, 2013",5.6
582,Assassin's Creed III - The Redemption (PC),"Apr 23, 2013",6.5
583,ShootMania Storm (PC),"Apr 10, 2013",7.2
584,Toys R Us Towers (iOS),"Apr 4, 2013",tbd
585,Trials Evolution: Gold Edition (PC),"Mar 21, 2013",6.8
586,Assassin's Creed III - The Betrayal (X360),"Mar 19, 2013",5.1
587,Assassin's Creed III - The Betrayal (PS3),"Mar 19, 2013",5.2
588,Assassin's Creed III - The Betrayal (PC),"Mar 19, 2013",5.9
589,Scott Pilgrim vs. the World: The Game - Online Multiplayer + Wallace Pack (X360),"Mar 13, 2013",tbd
590,Scott Pilgrim vs. the World: The Game - Online Multiplayer + Wallace Pack (PS3),"Mar 12, 2013",tbd
591,Rayman Jungle Run (PC),"Mar 7, 2013",7.9
592,Tom Clancy's Ghost Recon: Future Soldier - Khyber Strike (PC),"Feb 26, 2013",tbd
593,Assassin's Creed III - The Infamy (PS3),"Feb 19, 2013",5.0
594,Assassin's Creed III - The Infamy (PC),"Feb 19, 2013",5.7
595,Assassin's Creed III - The Infamy (X360),"Feb 19, 2013",5.0
596,Might & Magic Clash of Heroes (iOS),"Jan 24, 2013",tbd
597,Might & Magic: Clash of Heroes (iOS),"Jan 24, 2013",6.8
598,Might & Magic Clash of Heroes (iOS),"Jan 24, 2013",8.2
599,Assassin's Creed III: The Battle Hardened Pack (WIIU),"Jan 17, 2013",tbd
600,Far Cry 3: Deluxe Bundle DLC (X360),"Jan 17, 2013",tbd
601,Tom Clancy's Ghost Recon: Future Soldier - Raven Strike (PC),"Jan 17, 2013",tbd
602,Far Cry 3: High Tides (PS3),"Jan 15, 2013",6.1
603,Assassin's Creed III: The Battle Hardened Pack (PC),"Jan 15, 2013",tbd
604,Far Cry 3: Deluxe Bundle DLC (PC),"Jan 15, 2013",tbd
605,Assassin's Creed III: The Battle Hardened Pack (X360),"Jan 8, 2013",tbd
606,Assassin's Creed III: The Battle Hardened Pack (PS3),"Jan 8, 2013",tbd
607,Pet Shop (DS),Canceled,tbd
608,Babyz Party (WII),Canceled,tbd
609,Arthur and the Revenge of Maltazard (WII),TBA,tbd
610,Arthur and the Revenge of Maltazard (PC),TBA,tbd
611,Arthur and the Revenge of Maltazard (PS3),TBA,tbd
612,Raving Rabbids 4 (WII),Canceled,tbd
613,Killer Freaks from Outer Space (WIIU),Canceled,tbd
614,Animalz Marine Zoo (DS),Canceled,tbd
615,Action Heroes: Firefighter (DS),Canceled,tbd
616,Arthur and the Invisibles 2 (DS),Canceled,tbd
617,Guitar Hits (PSP),Canceled,tbd
618,Far Cry The Outpost (iOS),"Dec 20, 2012",tbd
619,Assassin's Creed III: The Hidden Secrets Pack (X360),"Dec 11, 2012",4.2
620,Assassin's Creed III: The Hidden Secrets Pack (PC),"Dec 11, 2012",5.8
621,Assassin's Creed III: The Hidden Secrets Pack (WIIU),"Dec 11, 2012",4.7
622,Far Cry 3 (PS3),"Dec 4, 2012",8.5
623,Far Cry 3 (PC),"Dec 4, 2012",8.3
624,Far Cry 3 (X360),"Dec 4, 2012",8.6
625,Marvel Avengers: Battle for Earth (WIIU),"Dec 4, 2012",5.0
626,Assassin's Creed III: The Hidden Secrets Pack (PS3),"Dec 4, 2012",4.6
627,Assassin's Creed III (PC),"Nov 20, 2012",6.3
628,Rabbids Land (WIIU),"Nov 18, 2012",5.3
629,Assassin's Creed III (WIIU),"Nov 18, 2012",7.2
630,ZombiU (WIIU),"Nov 18, 2012",7.7
631,Your Shape: Fitness Evolved 2013 (WIIU),"Nov 18, 2012",6.3
632,Just Dance 4 (WIIU),"Nov 18, 2012",7.8
633,Rabbids Rumble (3DS),"Nov 13, 2012",6.5
634,ESPN Sports Connection (WIIU),"Nov 13, 2012",2.7
635,The Hip Hop Dance Experience (WII),"Nov 13, 2012",tbd
636,The Hip Hop Dance Experience (X360),"Nov 13, 2012",tbd
637,Assassin's Creed: Ezio Trilogy (PS3),"Nov 13, 2012",7.8
638,Rayman Origins (3DS),"Nov 6, 2012",6.3
639,Poptropica Adventures (DS),"Nov 6, 2012",tbd
640,Nutty Fluffies Rollercoaster (iOS),"Nov 1, 2012",tbd
641,Might & Magic: Duel of Champions (iOS),"Oct 31, 2012",6.2
642,Assassin's Creed III (PS3),"Oct 30, 2012",6.9
643,Assassin's Creed III (X360),"Oct 30, 2012",6.8
644,Assassin's Creed III: Liberation (VITA),"Oct 30, 2012",7.2
645,Marvel Avengers: Battle for Earth (X360),"Oct 30, 2012",7.0
646,Tom Clancy's Ghost Recon: Future Soldier - Arctic Strike (PC),"Oct 25, 2012",tbd
647,Just Dance: Disney Party (WII),"Oct 23, 2012",tbd
648,Just Dance: Disney Party (X360),"Oct 23, 2012",tbd
649,Imagine Babyz (3DS),"Oct 23, 2012",tbd
650,Imagine Fashion Life (3DS),"Oct 23, 2012",tbd
651,Rocksmith (PC),"Oct 16, 2012",8.2
652,Just Dance 4 (X360),"Oct 9, 2012",7.7
653,Just Dance 4 (PS3),"Oct 9, 2012",7.1
654,Just Dance 4 (WII),"Oct 9, 2012",7.6
655,Monster 4x4 3D (3DS),"Oct 9, 2012",tbd
656,Tom Clancy's Ghost Recon: Future Soldier - Khyber Strike (PS3),"Oct 9, 2012",tbd
657,Tom Clancy's Ghost Recon: Future Soldier - Khyber Strike (X360),"Oct 9, 2012",tbd
658,Anno 2070: Deep Ocean Expansion (PC),"Oct 4, 2012",8.4
659,Might & Magic: Heroes VI - Danse Macabre Adventure Pack (PC),"Sep 27, 2012",7.2
660,Puzzler World 2012 3D (3DS),"Sep 25, 2012",tbd
661,My Self Defence Coach (X360),"Sep 25, 2012",tbd
662,Rayman Jungle Run (iOS),"Sep 20, 2012",7.5
663,Might & Magic: Duel of Champions (PC),"Sep 13, 2012",6.9
664,Tom Clancy's Ghost Recon Online - The Arctic Pack (PC),"Sep 12, 2012",tbd
665,Tom Clancy's Ghost Recon: Future Soldier - Raven Strike (X360),"Sep 11, 2012",tbd
666,Tom Clancy's Ghost Recon: Future Soldier - Raven Strike (PS3),"Sep 11, 2012",tbd
667,I Am Alive (PC),"Sep 6, 2012",6.0
668,NCIS 3D (3DS),"Aug 24, 2012",tbd
669,The Expendables 2 Videogame (X360),"Aug 17, 2012",4.4
670,The Expendables 2 Videogame (PC),"Aug 17, 2012",2.4
671,Tom Clancy's Ghost Recon Phantoms (PC),"Aug 15, 2012",6.5
672,Rocksmith Bass Expansion (X360),"Aug 14, 2012",tbd
673,Rocksmith Bass Expansion (PS3),"Aug 14, 2012",tbd
674,Michael Jackson The Experience (iOS),"Aug 9, 2012",tbd
675,Babel Rising (PC),"Aug 7, 2012",3.0
676,Babel Rising - Sky's The Limit (PC),"Aug 7, 2012",tbd
677,The Expendables 2 Videogame (PS3),"Jul 31, 2012",3.9
678,Mad Riders - Daredevil Map Pack (PC),"Jul 31, 2012",tbd
679,Tom Clancy's Ghost Recon: Future Soldier - Arctic Strike (PS3),"Jul 17, 2012",tbd
680,Tom Clancy's Ghost Recon: Future Soldier - Arctic Strike (X360),"Jul 17, 2012",tbd
681,Might & Magic: Heroes VI - Pirates of the Savage Sea Adventure Pack (PC),"Jul 12, 2012",4.2
682,Babel Rising - Sky's The Limit (X360),"Jul 11, 2012",2.0
683,Babel Rising - Sky's The Limit (PS3),"Jul 10, 2012",tbd
684,Prince of Persia (3DS),Q2 2012,tbd
685,Tom Clancy's Ghost Recon: Future Soldier (PC),"Jun 26, 2012",5.1
686,Just Dance: Greatest Hits (X360),"Jun 26, 2012",tbd
687,Just Dance: Greatest Hits (WII),"Jun 26, 2012",tbd
688,Mad Riders: The Daredevil Map Pack (PS3),"Jun 26, 2012",tbd
689,Mad Riders: Zambia Pack (X360),"Jun 26, 2012",tbd
690,James Noir's Hollywood Crimes (iOS),"Jun 21, 2012",tbd
691,BABEL Rising 3D (iOS),"Jun 14, 2012",tbd
692,Babel Rising (X360),"Jun 13, 2012",3.4
693,Babel Rising (PS3),"Jun 12, 2012",tbd
694,Mad Riders (X360),"May 30, 2012",7.1
695,Mad Riders (PC),"May 30, 2012",7.0
696,Mad Riders (PS3),"May 29, 2012",5.7
697,Tom Clancy's Ghost Recon: Future Soldier (X360),"May 22, 2012",7.3
698,Tom Clancy's Ghost Recon: Future Soldier (PS3),"May 22, 2012",6.9
699,Trials Evolution (X360),"Apr 18, 2012",8.0
700,Shoot Many Robots (PC),"Apr 6, 2012",6.3
701,Rabbids Go Phone Again (iOS),"Apr 5, 2012",tbd
702,I Am Alive (PS3),"Apr 3, 2012",6.3
703,Funky Barn 3D (3DS),"Apr 3, 2012",tbd
704,The Price Is Right: Decades (PS3),"Apr 3, 2012",tbd
705,Rayman Origins (PC),"Mar 29, 2012",8.4
706,Horses 3D (3DS),"Mar 27, 2012",6.3
707,Rayman 3 HD (X360),"Mar 21, 2012",7.2
708,Rayman 3 HD (PS3),"Mar 20, 2012",6.5
709,MotoHeroz (iOS),"Mar 15, 2012",tbd
710,MotoHeroz HD (iOS),"Mar 15, 2012",tbd
711,Shoot Many Robots (X360),"Mar 14, 2012",7.0
712,I Am Alive (X360),"Mar 7, 2012",6.3
713,Prince of Persia Classic (iOS),"Feb 29, 2012",6.8
714,Prince of Persia Classic HD (iOS),"Feb 29, 2012",5.3
715,Assassin's Creed: Revelations - The Lost Archive (X360),"Feb 28, 2012",5.9
716,Assassin's Creed: Revelations - The Lost Archive (PC),"Feb 28, 2012",6.0
717,Assassin's Creed: Revelations - The Lost Archive (PS3),"Feb 28, 2012",5.9
718,Michael Jackson The Experience HD (VITA),"Feb 15, 2012",5.8
719,Rayman Origins (VITA),"Feb 15, 2012",8.4
720,Asphalt: Injection (VITA),"Feb 15, 2012",5.0
721,Dungeon Hunter: Alliance (VITA),"Feb 15, 2012",6.4
722,Lumines: Electronic Symphony (VITA),"Feb 15, 2012",7.9
723,Rabbids Go HD (iOS),"Jan 31, 2012",tbd
724,Assassin's Creed: Revelations - Mediterranean Traveler Map Pack (PC),"Jan 25, 2012",tbd
725,Assassin's Creed: Revelations - Mediterranean Traveler Map Pack (PS3),"Jan 24, 2012",3.2
726,Assassin's Creed: Revelations - Mediterranean Traveler Map Pack (X360),"Jan 24, 2012",6.8
727,Innergy (PC),TBA 2011,tbd
728,Hollywood 61 (3DS),TBA,tbd
729,QuestMania (PC),TBA,tbd
730,Tom Clancy's Splinter Cell: Chaos Theory HD (PS3),"Dec 27, 2011",8.0
731,Tom Clancy's Splinter Cell HD (PS3),"Dec 27, 2011",5.3
732,Tom Clancy's Splinter Cell Pandora Tomorrow HD (PS3),"Dec 27, 2011",3.9
733,Assassin's Creed: Revelations - Ancestors Character Pack (PS3),"Dec 13, 2011",3.0
734,Assassin's Creed: Revelations - Ancestors Character Pack (X360),"Dec 13, 2011",4.3
735,MotionSports Adrenaline: Urban Jungle (PS3),"Dec 13, 2011",tbd
736,MotionSports Adrenaline: Urban Jungle (X360),"Dec 13, 2011",tbd
737,Assassin's Creed: Revelations - Ancestors Character Pack (PC),"Dec 13, 2011",tbd
738,Michael Jackson The Experience (iOS),"Dec 7, 2011",tbd
739,The Adventures of Tintin: The Game (PC),"Dec 6, 2011",7.4
740,The Adventures of Tintin: The Game (PS3),"Dec 6, 2011",5.7
741,The Adventures of Tintin: The Game (X360),"Dec 6, 2011",6.4
742,The Adventures of Tintin: The Game (WII),"Dec 6, 2011",5.9
743,Just Dance 3 (PS3),"Dec 6, 2011",6.0
744,The Adventures of Tintin: The Game (3DS),"Dec 6, 2011",5.2
745,Drawsome! Artist (WII),"Dec 6, 2011",tbd
746,Drawsome! Sketch Quest (WII),"Dec 6, 2011",tbd
747,Assassin's Creed Recollection (iOS),"Nov 30, 2011",3.3
748,Assassin's Creed: Revelations (PC),"Nov 29, 2011",7.4
749,Hole in the Wall: Deluxe Edition (X360),"Nov 20, 2011",tbd
750,Anno 2070 (PC),"Nov 17, 2011",7.0
751,Rayman Origins (X360),"Nov 15, 2011",8.2
752,Assassin's Creed: Revelations (PS3),"Nov 15, 2011",7.6
753,Assassin's Creed: Revelations (X360),"Nov 15, 2011",7.2
754,Rayman Origins (PS3),"Nov 15, 2011",8.4
755,Rayman Origins (WII),"Nov 15, 2011",8.5
756,Imagine Fashion Designer (3DS),"Nov 15, 2011",tbd
757,The Price Is Right: Decades (X360),"Nov 15, 2011",tbd
758,ABBA: You Can Dance (WII),"Nov 15, 2011",tbd
759,The Adrenaline Lab (iOS),"Nov 9, 2011",tbd
760,Raving Rabbids: Alive & Kicking (X360),"Nov 8, 2011",5.4
761,Your Shape Fitness Evolved 2012 (X360),"Nov 8, 2011",7.6
762,Michael Jackson The Experience (3DS),"Nov 8, 2011",7.1
763,The Black Eyed Peas Experience (WII),"Nov 8, 2011",tbd
764,The Black Eyed Peas Experience (X360),"Nov 8, 2011",5.8
765,Puppies 3D (3DS),"Nov 8, 2011",tbd
766,Self-Defense Training Camp (X360),"Nov 8, 2011",5.0
767,Assassin's Creed: Revelations - Path to Revelations (iOS),"Nov 4, 2011",tbd
768,Monster Burner (iOS),"Nov 3, 2011",tbd
769,James Noir's Hollywood Crimes (3DS),"Nov 1, 2011",6.7
770,MotionSports Adrenaline (X360),"Nov 1, 2011",6.5
771,MotionSports Adrenaline (PS3),"Nov 1, 2011",tbd
772,NCIS (X360),"Nov 1, 2011",3.8
773,NCIS (PS3),"Nov 1, 2011",4.6
774,NCIS (WII),"Nov 1, 2011",tbd
775,NCIS (PC),"Nov 1, 2011",tbd
776,Who Wants To Be A Millionaire? 2012 Edition (X360),"Nov 1, 2011",tbd
777,Assassin's Creed Rearmed (iOS),"Oct 27, 2011",tbd
778,Zoo Resort 3D (3DS),"Oct 25, 2011",6.5
779,Just Dance Kids 2 (X360),"Oct 25, 2011",tbd
780,Just Dance Kids 2 (WII),"Oct 25, 2011",tbd
781,Just Dance Kids 2 (PS3),"Oct 25, 2011",tbd
782,Rocksmith (X360),"Oct 18, 2011",8.2
783,Rocksmith (PS3),"Oct 18, 2011",8.3
784,PowerUp Heroes (X360),"Oct 18, 2011",7.5
785,Petz: Puppyz & Kittenz (DS),"Oct 18, 2011",tbd
786,The Price Is Right: Decades (PS3),"Oct 18, 2011",tbd
787,The Price Is Right: Decades (WII),"Oct 18, 2011",tbd
788,Family Feud: 2012 Edition (WII),"Oct 18, 2011",tbd
