Date,Open,High,Low,Close,Adj Close,Volume
2015-09-30,18.379999,27.290001,18.120001,27.275000,27.275000,15353738
2015-10-31,26.975000,28.170000,24.750000,26.500000,26.500000,8637949
2015-11-30,26.540001,28.235001,26.215000,26.670000,26.670000,5040364
2015-12-31,27.125000,27.125000,22.230000,25.344999,25.344999,7259056
2016-01-31,25.350000,27.260000,18.600000,26.370001,26.370001,10938120
2016-02-29,27.025000,28.504999,25.830000,27.600000,27.600000,6798274
2016-03-31,27.344999,27.969999,24.695000,25.370001,25.370001,5192062
2016-04-30,25.365000,33.310001,25.365000,33.150002,33.150002,5873024
2016-05-31,33.255001,33.994999,27.129999,33.009998,33.009998,5833578
2016-06-30,33.185001,38.880001,32.570000,36.724998,36.724998,5044515
2016-07-31,36.834999,37.845001,34.615002,35.040001,35.040001,4730714
2016-08-31,35.134998,37.224998,33.195000,33.599998,33.599998,6456873
2016-09-30,33.189999,34.590000,30.440001,31.000000,31.000000,4507204
2016-10-31,31.020000,34.099998,28.500000,32.834999,32.834999,8086403
2016-11-30,32.735001,33.955002,30.555000,33.799999,33.799999,4374087
2016-12-31,33.845001,34.150002,29.615000,30.420000,30.420000,5942041
2017-01-31,30.450001,35.779999,30.450001,34.625000,34.625000,4916654
2017-02-28,34.735001,40.044998,34.735001,40.044998,40.044998,4004904
2017-03-31,40.244999,43.990002,39.520000,43.500000,43.500000,3927426
2017-04-30,43.500000,50.000000,43.320000,49.529999,49.529999,10175658
2017-05-31,49.509998,52.750000,47.224998,49.680000,49.680000,8462336
2017-06-30,49.770000,56.320000,47.685001,53.430000,53.430000,6081727
2017-07-31,53.400002,56.470001,51.889999,55.959999,55.959999,4764356
2017-08-31,55.990002,60.759998,55.450001,58.160000,58.160000,6732207
2017-09-30,58.419998,67.519997,58.389999,65.500000,65.500000,8930060
2017-10-31,65.400002,72.230003,63.410000,64.430000,64.430000,16933376
2017-11-30,64.430000,66.660004,62.209999,64.139999,64.139999,7003500
2017-12-31,64.139999,71.720001,63.299999,68.940002,68.940002,5928923
2018-01-31,69.440002,69.779999,61.599998,68.000000,68.000000,7287303
2018-02-28,67.860001,72.599998,64.540001,68.519997,68.519997,10826713
2018-03-31,68.519997,80.120003,65.879997,79.260002,79.260002,9398931
2018-04-30,79.260002,92.720001,79.260002,92.620003,92.620003,8964750
2018-05-31,93.080002,100.150002,91.500000,93.980003,93.980003,8807160
2018-06-30,92.879997,107.900002,88.559998,94.440002,94.440002,7454283
2018-07-31,94.239998,96.919998,88.000000,95.860001,95.860001,6674736
2018-08-31,91.500000,97.779999,86.620003,93.419998,93.419998,6886178
2018-09-30,93.540001,100.449997,75.080002,79.500000,79.500000,10523729
2018-10-31,79.019997,83.720001,75.900002,75.900002,75.900002,1688520
2018-11-05,80.599998,81.019997,75.900002,75.900002,75.900002,540461
