id,id,date,text,reposts,comments,like
25,4301468415094487,2018-11-01,"昨天下午《行者》与大昆明的部分中小学生共话西游<span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span><a href='/n/贰零壹陆影视传媒'>@贰零壹陆影视传媒</a> <a href='/n/儒意影业'>@儒意影业</a> <a href='/n/游福'>@游福</a> <a href='/n/行走的禅文化'>@行走的禅文化</a> <a href='/n/长江文艺出版社'>@长江文艺出版社</a> <a href='/n/北京长江新世纪'>@北京长江新世纪</a> ",58.0,0.0,2058.0
26,4301458930675331,2018-11-01,"祝“观音菩萨”左大玢老师生日快乐！<span class=""url-icon""><img alt=""[蛋糕]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/o_dangao-a3a218d74a.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[礼物]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/o_liwu-6cd67ad993.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span> ",1581.0,0.0,126458.0
27,4301312495277934,2018-10-31,"今晚在昆明理工大学礼堂与云南师范大学的1000多名师生及云南省内的1000多名中小学校长共话西游<span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span><a href='/n/贰零壹陆影视传媒'>@贰零壹陆影视传媒</a> <a href='/n/儒意影业'>@儒意影业</a> <a href='/n/行走的禅文化'>@行走的禅文化</a> <a href='/n/游福'>@游福</a> <a href='/n/云师青团'>@云师青团</a> <a href='/n/云南师范大学'>@云南师范大学</a> <a href='/n/昆明理工大学微博协会'>@昆明理工大学微博协会</a> ",117.0,2.0,3070.0
28,4301304811257663,2018-10-31,"今晚与我的良师益友：照片右为原清华大学校长顾秉林院士，左为原南开大学校长饶子和院士<span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[作揖]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-38716bd05f.png"" style=""width:1em; height:1em;""/></span> ",70.0,0.0,4820.0
29,4301274579115178,2018-10-31,<a href='/n/人民日报'>@人民日报</a> ：六小龄童做客荆楚书香节，首部自传《行者》英文版圆满签约（今天） ,42.0,0.0,1190.0
30,4301154307752537,2018-10-31,"今天上午九时，应邀出席在云南大昆明举行的“西南联大博物馆开馆暨云南师范大学建校80周年、《西南联大口述历史》首发仪式”，与清华大学原校长顾秉林先生、云南师范大学党委书记饶卫先生及校长蒋永文先生、部分学生留影<span class=""url-icon""><img alt=""[good]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_good-55854d01bb.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[耶]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_ye-4ef8705b08.png"" style=""width:1em; height:1em;""/></span><a href='/n/云南师范大学'>@云南师范大学</a> <a href='/n/贰零壹陆影视传媒'>@贰零壹陆影视传媒</a> <a href='/n/儒意影业'>@儒意影业</a> <a href='/n/游福'>@游福</a>  ...<a href=""/status/4301154307752537"">全文</a>",607.0,0.0,3988.0
31,4301127090392166,2018-10-31,"恳请大家帮忙转一下好吗？一位也行！🙏<span class=""url-icon""><img alt=""[作揖]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-38716bd05f.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[握手]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_woshou-9ec25c8391.png"" style=""width:1em; height:1em;""/></span><a data-url=""http://t.cn/EwAKCEs"" target=""_blank"" href=""https://weibo.cn/sinaurl/blockedf1a50a79?luicode=10000011&lfid=1076031211441627&u=https%3A%2F%2Fb.scene.eqxiu.mobi%2Fs%2FirDFwLTm"" class=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='//h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">网页链接</span></a> ",2533.0,0.0,4273.0
32,4301094635604949,2018-10-31,"🙏🙏🙏<span class=""url-icon""><img alt=""[作揖]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-38716bd05f.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[作揖]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-38716bd05f.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[作揖]"" src=""//h5.sinaimg.cn/m/emoticon/icon/others/h_zuoyi-38716bd05f.png"" style=""width:1em; height:1em;""/></span><a data-url=""http://t.cn/EwwYmJh"" target=""_blank"" href=""https://weibo.cn/sinaurl/blocked399228bf?url=https%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMzAwODA0NTMxOQ%3D%3D%26mid%3D2684633019%26idx%3D1%26sn%3D698588d37325c636368ea401395c0ec4&share_menu=1&sinainternalbrowser=topnav&mid=4301094635604949&luicode=10000011&lfid=1076031211441627&u=https%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMzAwODA0NTMxOQ%3D%3D%26mid%3D2684633019%26idx%3D1%26sn%3D698588d37325c636368ea401395c0ec4"" class=""""><span class='url-icon'><img style='width: 1rem;height: 1rem' src='https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png'></span><span class=""surl-text"">虹口各界公祭鲁迅先生文</span></a> ",61.0,0.0,1576.0
33,4300916284718262,2018-10-30,"尊敬的王光英先生，一路走好！<span class=""url-icon""><img alt=""[泪]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-316a1a3ed5.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[泪]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-316a1a3ed5.png"" style=""width:1em; height:1em;""/></span><span class=""url-icon""><img alt=""[泪]"" src=""//h5.sinaimg.cn/m/emoticon/icon/default/d_lei-316a1a3ed5.png"" style=""width:1em; height:1em;""/></span>🙏🙏🙏 ",369.0,0.0,11611.0
34,4300911020534984,2018-10-30,有幸出演过根据金庸先生的小说《连城诀》改编的同名电视剧，愿金大侠一路走好！🙏🙏🙏🙏🙏🙏,1061.0,0.0,21100.0
